datetime,grid1-loss,season_x,week_x,month_x,dew_point_max,dew_point,grid1-temp_max,temperature_max,dew_point_min,dew_point_mean,grid1-temp_min,grid1-temp,temperature,grid1-temp_mean,temperature_min,temperature_mean,grid1-load,ewma,demand
2017-12-09 08:00:00+00:00,17.508,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,2.15,1.63,3.0,4.07,-1.21,0.6691666666666666,0.5,3.0,3.25,2.008333333333352,1.09,2.5883333333333334,478.164,22.356,360.8281359099
2017-12-10 08:00:00+00:00,18.231,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,1.55,-7.6,3.0,3.65,-7.6,-2.5625,-3.6999999999999886,-3.6999999999999886,-3.43,-0.3416666666666472,-3.43,1.018333333333333,448.582,17.744743130411372,364.7670595938
2017-12-11 08:00:00+00:00,28.221,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-8.05,-8.21,-2.5,-3.37,-10.55,-9.376666666666669,-6.0,-5.699999999999989,-3.37,-4.699999999999986,-5.06,-4.4375,535.74,18.20725454342194,466.8701226112
2017-12-12 08:00:00+00:00,31.366,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.9,-10.72,-3.2999999999999545,-2.03,-10.72,-8.803333333333333,-6.199999999999989,-4.5,-7.38,-5.016666666666644,-7.41,-5.1779166666666665,529.922,27.73199722637521,482.6989669328
2017-12-13 08:00:00+00:00,30.403,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.28,-9.41,-1.5,-0.23,-10.75,-8.455416666666666,-4.2999999999999545,-1.5,-3.68,-2.858333333333306,-7.28,-4.73,518.112,31.18854018305455,454.6008973845
2017-12-14 08:00:00+00:00,32.851,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-4.89,-8.0,-1.3999999999999773,-3.24,-12.05,-8.804166666666665,-8.0,-8.0,-5.55,-4.324999999999979,-6.15,-4.998333333333334,498.071,30.441360404703023,468.4417518926
2017-12-15 08:00:00+00:00,33.734,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.53,-7.6,-7.399999999999977,-5.1,-8.95,-8.040000000000001,-10.699999999999989,-9.599999999999966,-5.31,-9.245833333333318,-6.65,-5.785,496.947,32.73332969864814,489.187411398
2017-12-16 08:00:00+00:00,25.777,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-5.65,-7.01,-2.2999999999999545,-2.88,-7.65,-6.6925,-9.599999999999966,-2.599999999999966,-3.83,-5.099999999999982,-5.41,-4.105,431.681,33.68513411310814,405.0226856782
2017-12-17 08:00:00+00:00,19.994,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.51,-4.84,-0.2999999999999545,0.69,-6.85,-3.817083333333333,-3.2999999999999545,-1.8999999999999773,-1.43,-1.2458333333333065,-3.62,-1.0466666666666666,442.029,26.163179130703423,380.7827381016
2017-12-18 08:00:00+00:00,25.576,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,1.41,0.91,3.300000000000012,4.75,-9.84,-6.353333333333333,-4.2999999999999545,3.300000000000012,4.5,-1.3833333333333069,-4.65,-2.0783333333333336,565.917,20.29526047431338,465.1692216694
2017-12-19 08:00:00+00:00,23.29,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,1.61,-2.2,3.7000000000000455,4.5,-4.73,-1.1975,0.9000000000000341,3.6000000000000227,1.75,2.7416666666666907,0.38,2.8945833333333333,599.65,25.318124833705006,447.0263075404
2017-12-20 08:00:00+00:00,21.288,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.72,3.71,4.800000000000011,4.97,-1.31,2.57125,3.5,4.100000000000023,4.45,4.104166666666686,2.01,4.39375,589.526,23.389039732259977,439.274112623
2017-12-21 08:00:00+00:00,22.979,1.0,0.970941817426052,0.8660254037844384,3.55,-2.39,3.900000000000034,4.49,-2.84,0.2804166666666666,0.6000000000000227,3.0,3.84,2.104166666666688,1.25,3.0820833333333333,614.932,21.39060039672729,431.5945666252
2017-12-22 08:00:00+00:00,23.904,1.0,0.970941817426052,0.8660254037844384,-0.04,-2.19,3.200000000000045,3.81,-2.59,-1.5516666666666663,1.5,1.900000000000034,2.74,2.270833333333352,2.67,3.178333333333333,623.84,22.901433437619023,429.7884277601
