datetime,grid1-loss,snow_depth,season_x,week_x,month_x,dew_point,dew_point_max,dew_point_min,dew_point_mean,grid1-temp_min,grid1-temp,temperature_max,temperature,grid1-temp_max,temperature_min,grid1-load,grid1-temp_mean,temperature_mean,ewma,demand
2017-12-09 11:00:00+00:00,20.051,0.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,0.63,2.15,-1.05,0.9245833333333334,1.5,2.700000000000045,4.07,3.6,3.0,1.09,493.664,2.254166666666684,2.833333333333333,22.445,377.8939524347
2017-12-10 11:00:00+00:00,20.952,0.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-8.77,0.15,-8.77,-3.754583333333333,-4.0,-3.599999999999966,3.47,-3.99,2.900000000000034,-3.99,484.517,-1.170833333333313,0.08,20.425985120663007,394.9898867577
2017-12-11 11:00:00+00:00,26.882,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.08,-7.08,-10.55,-9.2575,-6.0,-4.899999999999977,-2.13,-2.13,-2.5,-5.06,533.743,-4.879166666666653,-4.264583333333333,20.86960745488776,466.2061161012
2017-12-12 11:00:00+00:00,29.379,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-10.7,-6.9,-10.75,-9.21125,-6.199999999999989,-3.599999999999966,-2.03,-6.91,-3.2999999999999545,-7.41,534.505,-4.854166666666643,-5.749166666666667,25.940246556390026,482.424283787
2017-12-13 11:00:00+00:00,29.234,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-10.06,-2.28,-10.65,-8.359583333333333,-3.899999999999977,-2.0,-0.23,-4.58,-1.3999999999999773,-7.02,518.44,-2.579166666666642,-4.394166666666667,28.840369517551203,457.6899798018
2017-12-14 11:00:00+00:00,32.387,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.72,-4.89,-12.05,-8.538333333333334,-8.399999999999977,-7.599999999999966,-3.24,-5.39,-1.8999999999999773,-6.15,483.337,-5.1124999999999785,-5.1312500000000005,29.17234353635852,472.5081950611
2017-12-15 11:00:00+00:00,32.712,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.46,-7.46,-8.95,-8.006666666666666,-10.699999999999989,-9.199999999999989,-5.1,-5.25,-7.399999999999977,-6.65,498.063,-9.420833333333318,-5.769583333333333,31.88347103512585,483.3606327757
2017-12-16 11:00:00+00:00,27.38,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.0,-5.65,-7.25,-6.553333333333334,-7.199999999999989,-1.6999999999999886,-2.88,-3.09,-1.6999999999999886,-5.03,467.055,-4.204166666666649,-3.856666666666666,32.58222304349786,417.6915647607
2017-12-17 11:00:00+00:00,23.282,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-5.73,-2.51,-5.73,-3.681666666666666,-3.2999999999999545,-2.5,0.69,-1.13,-0.2999999999999545,-2.69,478.957,-1.2624999999999744,-0.7749999999999999,28.19485222877273,410.8461542122
2017-12-18 11:00:00+00:00,24.91,0.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,-0.14,1.41,-9.84,-5.68375,-4.2999999999999545,3.0,4.75,4.0,3.400000000000034,-4.65,550.929,-0.6874999999999716,-1.4366666666666663,24.0515265187159,448.31127509
