datetime,grid1-loss,season_y,snow_depth,season_x,week_x,month_x,grid1-temp_max,temperature_max,grid1-load,dew_point_max,grid1-temp,dew_point_mean,dew_point,grid1-temp_mean,dew_point_min,temperature,grid1-temp_min,temperature_mean,temperature_min,demand,ewma
2017-12-09 02:00:00+00:00,12.022,-1.0,0.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.900000000000034,4.07,407.865,1.87,2.400000000000034,-0.1583333333333333,1.87,1.9166666666666856,-1.56,3.53,0.5,2.303333333333333,1.09,253.6866270848,12.126
2017-12-10 02:00:00+00:00,12.998,-1.0,0.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.0,4.06,384.02,2.15,-0.8999999999999773,-0.4949999999999999,-5.02,1.0291666666666852,-5.02,-0.51,-2.6999999999999886,2.4291666666666667,-0.51,254.1334781346,12.02200000154972
2017-12-11 02:00:00+00:00,16.946,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,-1.05,388.776,-5.45,-5.199999999999989,-8.791666666666666,-9.37,-3.945833333333319,-10.55,-4.76,-5.699999999999989,-3.957083333333333,-5.06,285.8589302005,12.997999985456463
2017-12-12 02:00:00+00:00,18.079,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.2999999999999545,-2.03,394.751,-6.9,-4.5,-8.392916666666666,-10.0,-5.3249999999999815,-10.0,-7.13,-6.199999999999989,-4.375416666666667,-7.13,321.9702351802,16.945999941170218
2017-12-13 02:00:00+00:00,18.179,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.5,-0.29,407.433,-2.28,-2.599999999999966,-9.48625,-2.28,-3.529166666666638,-10.75,-0.29,-4.7999999999999545,-6.107499999999999,-7.41,301.1246302384,18.078999983116983
2017-12-14 02:00:00+00:00,18.787,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,-0.23,384.355,-2.85,-5.399999999999977,-8.352916666666667,-8.76,-3.058333333333311,-12.05,-5.77,-5.399999999999977,-4.0720833333333335,-6.15,312.0395804013,18.178999998509884
2017-12-15 02:00:00+00:00,20.128,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-5.599999999999966,-5.35,345.066,-7.65,-9.399999999999975,-8.1275,-8.64,-8.599999999999982,-8.95,-6.16,-10.699999999999989,-5.833333333333333,-6.65,345.0092949315,18.78699999094009
2017-12-16 02:00:00+00:00,17.973,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.0,-2.89,343.177,-5.7,-3.0,-7.031666666666666,-5.7,-6.862499999999986,-8.35,-2.89,-9.599999999999966,-4.558333333333333,-5.81,295.8539345114,20.12799998001754
2017-12-17 02:00:00+00:00,15.503,-1.0,0.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.2999999999999545,0.69,360.517,-2.51,-0.5999999999999659,-4.362916666666666,-3.27,-1.541666666666643,-7.01,-0.71,-3.2999999999999545,-1.586666666666667,-3.94,280.2090182188,17.973000032112
2017-12-18 02:00:00+00:00,15.088,-1.0,0.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,-0.0999999999999659,-1.0,423.47,-3.55,-0.0999999999999659,-7.164583333333333,-7.42,-2.249999999999974,-9.84,-4.24,-4.2999999999999545,-2.839166666666667,-4.65,337.0946243249,15.503000036805869
