datetime,grid1-loss,season_x,dew_point,week_x,month_x,dew_point_max,dew_point_min,dew_point_mean,grid1-temp_min,temperature_min,temperature,temperature_max,grid1-temp,grid1-temp_max,temperature_mean,grid1-temp_mean,grid1-load,demand,ewma
2017-12-09 16:00:00+00:00,21.595,-1.8369701987210287e-16,-0.59,0.88545602565321,0.8660254037844384,2.15,-0.59,1.0475,0.9000000000000341,1.46,2.57,4.07,0.9000000000000341,3.0,3.192916666666667,2.2333333333333534,499.758,400.6861586549,23.072
2017-12-10 16:00:00+00:00,24.844,-1.8369701987210287e-16,-10.13,0.88545602565321,0.8660254037844384,-0.9,-10.13,-5.702916666666667,-4.099999999999966,-4.96,-4.96,2.21,-4.099999999999966,0.5,-1.502916666666667,-2.2749999999999844,509.193,437.0202778189,21.62704256384398
2017-12-11 16:00:00+00:00,30.965,-1.8369701987210287e-16,-7.9,0.9350162426854148,0.8660254037844384,-6.9,-10.55,-8.795833333333333,-6.0,-5.06,-4.02,-2.03,-5.599999999999966,-3.2999999999999545,-3.935,-5.112499999999983,556.899,491.5919268944,24.77421018007353
2017-12-12 16:00:00+00:00,32.179,-1.8369701987210287e-16,-10.51,0.9350162426854148,0.8660254037844384,-8.08,-10.75,-9.8825,-6.199999999999989,-7.41,-6.92,-4.52,-3.7999999999999545,-3.599999999999966,-6.58125,-4.691666666666642,553.343,500.93252263,30.830694801591303
2017-12-13 16:00:00+00:00,31.084,-1.8369701987210287e-16,-11.33,0.9350162426854148,0.8660254037844384,-2.28,-12.05,-8.52,-3.6999999999999886,-6.73,-5.36,-0.23,-3.6999999999999886,-1.3999999999999773,-4.005416666666666,-2.416666666666645,558.171,479.8456293027,32.149749386999886
2017-12-14 16:00:00+00:00,34.03,-1.8369701987210287e-16,-7.92,0.9350162426854148,0.8660254037844384,-4.89,-10.0,-7.7925,-9.199999999999989,-6.15,-5.84,-3.24,-9.199999999999989,-3.0,-5.238333333333333,-6.249999999999979,484.981,498.2171947788,31.10712074663143
2017-12-15 16:00:00+00:00,33.714,-1.8369701987210287e-16,-6.4,0.9350162426854148,0.8660254037844384,-6.4,-8.95,-7.80375,-10.699999999999989,-6.65,-4.07,-4.07,-6.5,-6.5,-5.55625,-9.13333333333332,505.861,490.2203241266,33.96659001686913
2017-12-16 16:00:00+00:00,28.77,-1.8369701987210287e-16,-2.56,0.9350162426854148,0.8660254037844384,-2.56,-7.18,-5.915416666666666,-5.899999999999977,-4.41,-0.59,-0.59,-0.8999999999999773,-0.6999999999999886,-3.245,-3.104166666666645,487.275,432.6488089917,33.71947977775348
2017-12-17 16:00:00+00:00,26.498,-1.8369701987210287e-16,-8.76,0.9350162426854148,0.8660254037844384,-2.51,-8.76,-4.4750000000000005,-3.599999999999966,-3.91,-3.91,0.69,-3.599999999999966,-0.2999999999999545,-0.99,-1.4916666666666412,527.308,451.9331168745,28.877375776420543
2017-12-18 16:00:00+00:00,25.466,-1.8369701987210287e-16,0.91,0.970941817426052,0.8660254037844384,1.41,-9.84,-4.0475,-4.2999999999999545,-4.65,4.45,4.75,2.6000000000000227,3.400000000000034,0.02,0.4250000000000279,595.448,462.2083788484,26.54961902520296
2017-12-19 16:00:00+00:00,22.484,-1.8369701987210287e-16,3.3,0.970941817426052,0.8660254037844384,3.35,-4.73,-0.6429166666666668,0.9000000000000341,0.38,4.93,4.93,4.2000000000000455,4.800000000000011,2.7116666666666664,3.1750000000000207,608.065,454.0930798354,25.489508416924583
2017-12-20 16:00:00+00:00,22.166,-1.8369701987210287e-16,1.2,0.970941817426052,0.8660254037844384,3.72,1.2,2.708333333333333,1.900000000000034,2.66,2.66,4.97,1.900000000000034,4.5,4.3375,3.629166666666689,596.701,454.1782413784,22.54920256962283
2017-12-21 16:00:00+00:00,23.003,1.0,-0.58,0.970941817426052,0.8660254037844384,0.8,-2.84,-0.9033333333333332,0.6000000000000227,1.25,3.35,4.49,2.6000000000000227,3.200000000000045,3.1341666666666668,2.1291666666666864,626.796,437.2841799945,22.17431333297381
2017-12-22 16:00:00+00:00,22.786,1.0,-0.44,0.970941817426052,0.8660254037844384,-0.04,-2.59,-1.66125,0.9000000000000341,1.48,1.48,3.31,1.0,2.900000000000034,2.8154166666666662,1.795833333333351,623.641,428.0696346796,22.985022176415136
2017-12-23 16:00:00+00:00,19.299,1.0,-0.61,0.970941817426052,0.8660254037844384,4.99,-1.06,0.9479166666666664,1.2000000000000457,1.28,3.09,5.79,1.6000000000000227,6.300000000000011,4.045833333333333,3.5791666666666893,571.946,362.4988531228,22.79031765795136
2017-12-24 16:00:00+00:00,17.608,1.0,-1.48,0.970941817426052,0.8660254037844384,-0.15,-1.81,-0.99875,0.0,0.28,0.36,2.91,0.0,1.7000000000000457,1.850833333333333,0.8333333333333548,546.562,382.8793146011,19.37474188825627
