datetime,grid1-loss,snow_depth,season_y,season_x,week_x,month_x,grid1-temp_max,grid1-load,temperature_max,dew_point_max,grid1-temp,dew_point_mean,dew_point,grid1-temp_mean,dew_point_min,temperature,temperature_mean,grid1-temp_min,temperature_min,demand,ewma
2017-12-09 03:00:00+00:00,11.926,0.0,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.200000000000045,405.325,4.07,2.15,2.300000000000012,-0.0041666666666666,2.15,1.850000000000018,-1.56,4.06,2.3354166666666667,0.5,1.09,250.937059308,12.141
2017-12-10 03:00:00+00:00,12.768,0.0,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.0,383.108,3.93,2.06,-1.3999999999999773,-0.8116666666666666,-5.45,0.875000000000019,-5.45,-1.05,2.21625,-2.6999999999999886,-1.05,253.1924130081,11.92600000320375
2017-12-11 03:00:00+00:00,17.376,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.0,392.827,-1.51,-5.85,-5.5,-8.953750000000001,-9.34,-4.116666666666653,-10.55,-4.72,-4.11,-5.699999999999989,-5.06,289.9513474638,12.767999987453225
2017-12-12 03:00:00+00:00,18.338,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.2999999999999545,398.112,-2.03,-6.9,-4.2999999999999545,-8.426666666666668,-10.15,-5.27499999999998,-10.15,-7.22,-4.479583333333333,-6.199999999999989,-7.22,324.3617780016,17.37599993133545
2017-12-13 03:00:00+00:00,18.199,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.5,409.109,-0.23,-2.28,-2.2999999999999545,-9.182083333333331,-2.85,-3.4458333333333044,-10.75,-0.23,-5.81625,-4.7999999999999545,-7.41,303.3670055376,18.33799998566508
2017-12-14 03:00:00+00:00,19.24,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,369.806,-0.62,-4.11,-5.599999999999966,-8.586250000000001,-8.45,-3.1958333333333115,-12.05,-5.64,-4.2975,-5.599999999999966,-6.15,314.5139829671,18.199000002071266
2017-12-15 03:00:00+00:00,20.066,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.199999999999989,345.34,-5.35,-7.65,-9.399999999999975,-8.123333333333333,-8.35,-8.758333333333317,-8.95,-5.81,-5.840416666666666,-10.699999999999989,-6.65,347.8522184692,19.23999998448789
2017-12-16 03:00:00+00:00,17.949,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.5,341.424,-2.88,-5.65,-2.5,-6.9191666666666665,-5.65,-6.574999999999986,-8.02,-2.88,-4.43625,-9.599999999999966,-5.47,293.6005695624,20.06599998769164
2017-12-17 03:00:00+00:00,15.292,0.0,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.2999999999999545,356.506,0.69,-2.51,-0.7999999999999545,-4.275416666666667,-3.55,-1.4708333333333077,-7.01,-1.0,-1.5083333333333335,-3.2999999999999545,-3.94,280.0342772237,17.94900003154576
2017-12-18 03:00:00+00:00,15.095,0.0,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,0.2000000000000454,429.774,-1.13,-3.86,0.2000000000000454,-7.250416666666666,-5.61,-2.2083333333333077,-9.84,-3.53,-2.9445833333333336,-4.2999999999999545,-4.65,339.8031056857,15.292000039592384
