datetime,grid1-loss,snow_depth,season_x,week_x,month_x,dew_point,dew_point_max,dew_point_min,grid1-temp_min,dew_point_mean,grid1-temp_max,temperature_max,grid1-temp,grid1-load,temperature,temperature_min,grid1-temp_mean,temperature_mean,ewma,demand
2019-10-31 10:00:00+00:00,24.4348,0.0,-1.8369701987210287e-16,0.464723172043768,-1.8369701987210287e-16,0.8,4.47,0.8,3.6000000000000227,2.794166666666668,5.7000000000000455,5.81,4.300000000000011,380.753,5.81,4.68,4.237500000000026,5.22375,24.918627349545385,357.1767941202
2019-11-01 10:00:00+00:00,25.0466,0.0,-1.8369701987210287e-16,0.464723172043768,0.5000000000000001,-1.86,3.59,-1.89,2.6000000000000227,1.6979166666666667,4.5,5.89,4.5,405.867,3.92,3.48,3.6375000000000193,4.55625,24.488394526990987,360.6372028826
2019-11-02 10:00:00+00:00,23.7463,0.0,-1.8369701987210287e-16,0.464723172043768,0.5000000000000001,-4.97,-1.67,-4.97,-0.3999999999999772,-3.39875,5.100000000000023,4.19,1.2000000000000457,401.03,2.05,1.16,1.40416666666669,2.244166666666667,24.98476645892836,344.607921678
2019-11-03 10:00:00+00:00,24.3074,0.0,-1.8369701987210287e-16,0.464723172043768,0.5000000000000001,-4.28,0.02,-5.01,-3.7999999999999545,-3.4058333333333333,2.300000000000012,2.84,-1.099999999999966,424.582,0.51,0.45,-0.479166666666643,1.8279166666666669,23.883487416384867,340.9194721953
2019-11-04 10:00:00+00:00,34.4684,0.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-12.53,-4.66,-12.6,-5.199999999999989,-9.342916666666666,0.3000000000000113,0.69,-0.3999999999999772,455.348,-1.12,-1.65,-3.1291666666666367,-0.653333333333333,24.26044235193457,401.4961522872
2019-11-05 10:00:00+00:00,33.8649,0.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-12.22,-10.21,-12.36,-6.699999999999989,-11.631666666666668,1.3000000000000114,-0.25,-3.099999999999966,455.13,-2.71,-3.03,-3.2458333333333087,-1.8325,33.337644034662056,406.2056024693
2019-11-06 10:00:00+00:00,35.4496,0.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-10.45,-10.45,-12.28,-4.899999999999977,-11.5775,-1.3999999999999773,-1.5,-2.599999999999966,443.397,-1.5,-2.48,-3.379166666666644,-2.0691666666666664,33.80649479803691,403.484244154
2019-11-07 10:00:00+00:00,35.3058,0.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-7.51,-7.51,-10.22,-5.699999999999989,-8.2125,-1.5,-1.01,-1.8999999999999773,439.751,-1.01,-1.44,-3.458333333333312,-1.243333333333333,35.26758993757094,401.0766764033
2019-11-08 10:00:00+00:00,36.4746,0.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-7.96,-7.47,-8.35,-6.0,-8.0175,0.0,-0.67,-2.2999999999999545,444.782,-1.75,-2.09,-3.520833333333312,-1.584583333333333,35.30156739466236,402.7663335477
2019-11-09 10:00:00+00:00,35.7213,3333.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-8.55,-7.82,-9.63,-7.5,-8.7225,-0.3999999999999772,-1.52,-3.5,430.968,-3.46,-3.95,-4.787499999999977,-2.840833333333333,36.34466082296268,383.2714678344
2019-11-10 10:00:00+00:00,33.2759,3333.0,-1.8369701987210287e-16,0.5680647467311548,0.5000000000000001,-7.38,-6.97,-8.22,-6.5,-7.456250000000001,-1.2999999999999543,-2.52,-4.5,436.284,-3.57,-3.89,-4.012499999999974,-3.1558333333333333,35.790350930012096,371.7031344464
2019-11-11 10:00:00+00:00,36.6831,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-11.69,-7.39,-11.69,-7.299999999999954,-8.84625,-3.099999999999966,-3.1,-4.199999999999989,532.722,-6.25,-6.25,-5.574999999999977,-4.154166666666666,33.554430778308976,446.2702061083
2019-11-12 10:00:00+00:00,39.6059,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-5.52,-5.52,-11.73,-6.699999999999989,-9.775833333333331,1.7000000000000457,-2.16,1.7000000000000457,528.355,-2.16,-6.28,-3.783333333333308,-5.194583333333333,36.33653102822661,442.8345235483
2019-11-13 10:00:00+00:00,32.0737,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-3.37,-1.98,-4.54,-0.5,-2.842083333333333,4.100000000000023,4.58,2.5,541.796,0.77,-1.35,2.1875000000000213,1.7883333333333338,39.243745434397525,432.7834441857
2019-11-14 10:00:00+00:00,35.8483,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-4.03,-2.24,-4.03,-1.7999999999999543,-3.0958333333333328,3.7000000000000455,1.46,0.5,539.299,0.34,0.27,0.4833333333333603,0.7879166666666669,32.8679403295752,428.0298697454
2019-11-15 10:00:00+00:00,37.4048,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-7.06,-4.32,-7.86,-3.599999999999966,-6.397500000000001,1.5,0.52,-0.7999999999999545,549.671,0.11,-0.48,-1.791666666666643,-0.1070833333333329,35.518159575012625,441.2708248468
2019-11-16 10:00:00+00:00,32.4666,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-5.18,-5.18,-7.68,-4.399999999999977,-6.752083333333332,0.3000000000000113,1.03,0.3000000000000113,542.579,0.26,-0.96,-1.874999999999979,0.032916666666667,37.1958130519197,419.9989106419
2019-11-17 10:00:00+00:00,24.8799,3333.0,-1.8369701987210287e-16,0.6631226582407952,0.5000000000000001,-1.34,-1.03,-4.94,0.2000000000000454,-2.670833333333333,4.300000000000011,2.64,4.300000000000011,522.395,2.64,-0.68,1.6875000000000169,1.0462500000000003,32.990464425596016,400.2267740415
2019-11-18 10:00:00+00:00,31.6401,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,-0.83,1.2,-1.56,-1.0,-0.9395833333333332,4.800000000000011,2.78,1.5,551.911,1.77,1.11,1.125000000000021,1.830833333333333,25.77832350670788,452.2231753252
2019-11-19 10:00:00+00:00,30.2797,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,2.61,2.91,-0.54,1.7000000000000457,1.6970833333333335,3.0,4.85,2.0,576.096,3.41,2.19,2.2791666666666948,3.608750000000001,30.990779247917533,450.7072852047
2019-11-20 10:00:00+00:00,31.5782,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,-4.77,3.04,-4.85,-2.3999999999999773,-0.0166666666666664,2.200000000000045,3.89,-1.3999999999999773,513.006,1.03,0.95,0.1083333333333578,2.5475000000000003,30.358467676075065,452.767519469
