datetime,grid1-loss,season_y,season_x,week_x,month_x,grid1-temp_max,dew_point_max,temperature_max,dew_point,dew_point_min,grid1-temp,dew_point_mean,grid1-load,temperature,grid1-temp_min,grid1-temp_mean,temperature_min,temperature_mean,demand,ewma
2017-12-09 23:00:00+00:00,14.475,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.0,2.15,4.06,-2.5,-2.5,-2.6999999999999886,0.2475,403.831,0.77,-2.6999999999999886,1.4041666666666874,0.77,2.768333333333333,323.437219862,13.975
2017-12-10 23:00:00+00:00,18.036,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,0.0,-4.25,0.44,-9.33,-10.55,-5.699999999999989,-8.200000000000001,413.206,-4.38,-5.699999999999989,-3.383333333333318,-5.06,-3.375,352.2428507725,14.47499999254942
2017-12-11 23:00:00+00:00,20.766,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.2999999999999545,-6.9,-2.03,-8.75,-9.37,-5.199999999999989,-8.328333333333333,424.026,-5.51,-6.199999999999989,-5.358333333333316,-5.59,-4.079166666666667,386.8444218043,18.035999946936965
2017-12-12 23:00:00+00:00,20.417,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.5,-9.75,-5.82,-10.09,-10.75,-1.5,-10.414166666666668,431.522,-5.82,-4.899999999999977,-3.749999999999974,-7.41,-6.890416666666667,365.101396473,20.765999959319824
2017-12-13 23:00:00+00:00,21.141,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,-2.28,-0.23,-4.89,-12.05,-4.899999999999977,-7.510416666666667,419.289,-3.24,-4.899999999999977,-2.7624999999999766,-5.36,-3.4258333333333333,367.6424968668,20.417000005200507
2017-12-14 23:00:00+00:00,22.671,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-5.199999999999989,-7.65,-5.35,-8.23,-9.65,-10.399999999999975,-8.174583333333333,373.371,-6.17,-10.699999999999989,-8.079166666666646,-6.31,-5.774166666666666,394.0112180748,21.140999989211554
2017-12-15 23:00:00+00:00,20.618,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.899999999999977,-6.32,-3.89,-7.18,-8.95,-3.899999999999977,-7.37875,377.08,-4.31,-9.599999999999966,-7.608333333333317,-6.65,-4.967083333333333,382.9633284367,22.67099997720122
2017-12-16 23:00:00+00:00,17.646,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.2999999999999545,-2.51,0.69,-2.91,-7.01,-0.2999999999999545,-4.735,385.276,0.63,-4.0,-1.9166666666666452,-3.94,-1.9254166666666668,342.5454964049,20.61800003059208
2017-12-17 23:00:00+00:00,16.686,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.3999999999999772,-2.87,-0.2,-9.83,-9.84,-1.8999999999999773,-6.495416666666666,439.262,-4.46,-4.2999999999999545,-2.2624999999999744,-4.65,-2.415,365.9515938397,17.646000044286254
2017-12-18 23:00:00+00:00,15.74,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.400000000000034,1.61,4.75,-1.58,-9.25,1.900000000000034,-1.1233333333333333,476.526,2.38,-0.6999999999999886,2.150000000000027,-4.24,2.405,347.0606638259,16.686000014305115
