datetime,grid1-loss,snow_depth,season_x,week_x,dew_point,month_x,dew_point_max,dew_point_min,dew_point_mean,grid1-temp_min,temperature_min,temperature,temperature_max,grid1-temp,grid1-load,grid1-temp_max,temperature_mean,grid1-temp_mean,ewma,demand
2017-12-09 13:00:00+00:00,20.168,0.0,-1.8369701987210287e-16,0.88545602565321,-0.1,0.8660254037844384,2.15,-1.05,0.9820833333333332,1.5,1.09,3.34,4.07,2.400000000000034,485.4,3.0,2.9795833333333337,2.266666666666685,22.83,379.644388367
2017-12-10 13:00:00+00:00,22.528,0.0,-1.8369701987210287e-16,0.88545602565321,-9.3,0.8660254037844384,-0.22,-9.3,-4.521249999999999,-4.0,-4.24,-4.24,3.16,-3.0,497.029,1.900000000000034,-0.5495833333333333,-1.6208333333333158,20.420412191000032,409.762116408
2017-12-11 13:00:00+00:00,28.718,0.0,-1.8369701987210287e-16,0.9350162426854148,-7.02,0.8660254037844384,-6.9,-10.55,-9.072916666666666,-6.0,-5.06,-2.3,-2.03,-4.0,539.907,-3.2999999999999545,-4.099166666666666,-4.954166666666652,22.32815745432208,473.3222068796
2017-12-12 13:00:00+00:00,30.805,0.0,-1.8369701987210287e-16,0.9350162426854148,-10.61,0.8660254037844384,-7.32,-10.75,-9.517083333333334,-6.199999999999989,-7.41,-6.87,-2.83,-3.6999999999999886,545.188,-3.599999999999966,-6.139166666666667,-4.854166666666643,28.11211188688964,488.4410897151
2017-12-13 13:00:00+00:00,29.601,0.0,-1.8369701987210287e-16,0.9350162426854148,-11.12,0.8660254037844384,-2.28,-11.12,-8.370000000000001,-3.899999999999977,-7.02,-4.87,-0.23,-2.5,532.678,-1.3999999999999773,-4.222083333333334,-2.458333333333309,30.54965898243872,466.2331814535
2017-12-14 13:00:00+00:00,33.02,0.0,-1.8369701987210287e-16,0.9350162426854148,-7.67,0.8660254037844384,-4.89,-12.05,-8.280416666666666,-8.399999999999977,-6.15,-5.41,-3.24,-8.0,480.709,-3.0,-5.18125,-5.570833333333312,29.69095232617176,482.4929177237
2017-12-15 13:00:00+00:00,32.79,0.0,-1.8369701987210287e-16,0.9350162426854148,-7.01,0.8660254037844384,-7.01,-8.95,-7.962499999999999,-10.699999999999989,-6.65,-4.79,-4.79,-7.199999999999989,502.868,-7.199999999999989,-5.730416666666667,-9.37916666666665,32.7043380100321,487.1007109915
2017-12-16 13:00:00+00:00,27.817,0.0,-1.8369701987210287e-16,0.9350162426854148,-4.41,0.8660254037844384,-4.41,-7.18,-6.363333333333333,-7.199999999999989,-4.54,-2.16,-2.16,-2.3999999999999773,468.619,-1.6999999999999886,-3.6495833333333336,-3.8416666666666472,32.78187748663665,417.0246940987
2017-12-17 13:00:00+00:00,24.814,0.0,-1.8369701987210287e-16,0.9350162426854148,-6.89,0.8660254037844384,-2.51,-6.89,-3.825,-2.5,-1.91,-1.91,0.69,-2.5,499.104,-0.2999999999999545,-0.7091666666666666,-1.2166666666666426,28.28777220302355,424.430161259
2017-12-18 13:00:00+00:00,25.54,0.0,-1.8369701987210287e-16,0.970941817426052,0.05,0.8660254037844384,1.41,-9.84,-5.135416666666667,-4.2999999999999545,-4.65,4.34,4.75,2.400000000000034,571.385,3.400000000000034,-0.9433333333333334,-0.2958333333333034,25.143384843275804,448.5360815963
2017-12-19 13:00:00+00:00,22.645,0.0,-1.8369701987210287e-16,0.970941817426052,2.93,0.8660254037844384,2.93,-4.73,-0.9916666666666668,0.9000000000000341,0.38,4.05,4.5,3.8000000000000114,593.769,4.800000000000011,2.6704166666666667,2.966666666666688,25.502392749552,442.0513116039
2017-12-20 13:00:00+00:00,21.881,0.0,-1.8369701987210287e-16,0.970941817426052,1.96,0.8660254037844384,3.72,1.66,2.9341666666666666,2.1000000000000227,3.37,3.37,4.97,2.1000000000000227,580.959,4.5,4.558333333333333,3.891666666666687,22.915939430676943,441.2893662388
2017-12-21 13:00:00+00:00,22.886,0.0,1.0,0.970941817426052,-0.83,0.8660254037844384,1.76,-2.84,-0.6245833333333334,0.6000000000000227,1.25,3.65,4.49,2.300000000000012,616.649,3.200000000000045,3.0741666666666667,2.075000000000022,21.979133482062167,429.4783095129
2017-12-22 13:00:00+00:00,23.246,0.0,1.0,0.970941817426052,-1.65,0.8660254037844384,-0.04,-2.59,-1.6770833333333333,1.0,2.67,2.8,3.54,1.0,614.309,2.900000000000034,3.01,1.991666666666684,22.80001045652244,427.0463423233
2017-12-23 13:00:00+00:00,19.091,0.0,1.0,0.970941817426052,-0.19,0.8660254037844384,4.99,-1.06,0.9358333333333332,0.9000000000000341,1.28,3.79,5.79,1.900000000000034,561.443,6.300000000000011,3.8675,3.495833333333356,23.20371104514189,352.049468674
2017-12-24 13:00:00+00:00,18.222,0.0,1.0,0.970941817426052,-1.73,0.8660254037844384,-0.15,-1.73,-0.8525,0.1000000000000227,0.52,0.52,3.54,0.1000000000000227,526.944,1.7000000000000457,2.22375,1.0333333333333576,19.48096934855533,378.7879092826
2017-12-25 13:00:00+00:00,16.867,0.0,1.0,0.992708874098054,-1.91,0.8660254037844384,-0.5,-1.91,-1.3170833333333334,-0.6999999999999886,-0.39,-0.37,1.72,-0.5,535.493,0.0,0.2058333333333333,-0.2291666666666477,18.341376112573528,384.9549268879
2017-12-26 13:00:00+00:00,22.16,0.0,1.0,0.992708874098054,-5.84,0.8660254037844384,-2.09,-6.6,-4.5808333333333335,-4.7999999999999545,-3.38,-3.2,-0.5,-2.099999999999966,500.566,-0.5,-2.3583333333333334,-2.545833333333315,17.006801091259504,396.0258312532
