datetime,grid1-loss,season_y,season_x,week_x,month_x,dew_point_max,dew_point,grid1-temp_max,temperature_max,dew_point_min,temperature,dew_point_mean,grid1-temp,grid1-load,grid1-temp_min,grid1-temp_mean,temperature_min,temperature_mean,demand,ewma
2017-12-09 22:00:00+00:00,15.969,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,2.15,-2.06,3.0,4.06,-2.06,1.24,0.4170833333333333,-2.2999999999999545,412.113,-2.2999999999999545,1.604166666666688,1.24,2.898333333333333,337.3947825749,15.404
2017-12-10 22:00:00+00:00,19.227,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-2.5,-9.71,0.0,0.77,-10.55,-4.5,-7.915416666666666,-5.5,437.325,-5.5,-3.258333333333318,-5.06,-3.1604166666666664,376.6294806341,15.923945787114192
2017-12-11 22:00:00+00:00,23.482,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.9,-8.77,-3.2999999999999545,-2.03,-9.37,-5.57,-8.352500000000001,-5.5,452.596,-6.199999999999989,-5.379166666666649,-5.59,-4.0320833333333335,414.4865613151,18.96360795100758
2017-12-12 22:00:00+00:00,23.167,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-8.75,-10.2,-1.7999999999999543,-5.51,-10.75,-6.08,-10.358333333333333,-1.7999999999999543,465.295,-5.199999999999989,-3.90416666666664,-7.41,-6.8775,395.9862153204,23.12169451809409
2017-12-13 22:00:00+00:00,23.125,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.28,-5.23,-1.3999999999999773,-0.23,-12.05,-3.53,-7.727083333333334,-3.899999999999977,450.035,-3.899999999999977,-2.620833333333311,-5.82,-3.533333333333333,396.2331820245,23.16338725163419
2017-12-14 22:00:00+00:00,25.016,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-4.89,-8.32,-4.899999999999977,-3.24,-9.65,-6.26,-8.035416666666666,-10.5,401.612,-10.699999999999989,-7.84999999999998,-6.31,-5.652083333333334,420.0439050643,23.12806107505704
2017-12-15 22:00:00+00:00,22.971,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.32,-7.12,-4.2999999999999545,-3.89,-8.95,-4.41,-7.422499999999999,-4.2999999999999545,400.068,-10.399999999999975,-7.879166666666651,-6.65,-5.044583333333333,405.3732490346,24.86545203143401
2017-12-16 22:00:00+00:00,19.355,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.51,-2.81,-0.3999999999999772,0.69,-7.18,0.69,-4.912916666666667,-0.3999999999999772,408.792,-4.0,-2.0666666666666464,-4.31,-2.13125,359.2518832778,23.122067336506507
2017-12-17 22:00:00+00:00,18.627,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.87,-9.84,-0.2999999999999545,0.63,-9.84,-4.5,-6.207083333333333,-2.599999999999966,455.895,-4.2999999999999545,-2.1958333333333067,-4.65,-2.2029166666666664,390.0029468632,19.655393369440944
2017-12-18 22:00:00+00:00,17.824,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,1.61,-0.84,3.400000000000034,4.75,-9.83,2.85,-1.4670833333333333,2.200000000000045,510.903,-1.8999999999999773,1.991666666666693,-4.46,2.12,375.7673701745,18.709006112915297
2017-12-19 22:00:00+00:00,16.162,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.35,1.73,4.800000000000011,4.97,-4.73,4.58,-0.2233333333333333,4.5,507.033,0.9000000000000341,3.583333333333355,0.38,2.9479166666666665,362.8499503384,17.894572130648722
2017-12-20 22:00:00+00:00,16.742,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.72,-1.23,4.5,4.96,-1.23,1.34,2.0554166666666664,0.7000000000000455,506.525,0.7000000000000455,2.84166666666669,1.25,3.530416666666667,357.2202973532,16.300158714361526
2017-12-21 22:00:00+00:00,17.324,0.0,1.0,0.970941817426052,0.8660254037844384,0.69,-1.68,3.200000000000045,4.49,-2.84,2.97,-0.9875,1.6000000000000227,529.334,0.6000000000000227,2.4041666666666828,1.66,3.544166666666667,350.699695419,16.70676670558426
2017-12-22 22:00:00+00:00,15.702,0.0,1.0,0.970941817426052,0.8660254037844384,1.76,1.76,4.0,3.9,-2.59,3.9,-1.5895833333333331,4.0,504.611,0.9000000000000341,1.829166666666687,1.28,2.5316666666666667,338.9937921504,17.274780601333074
2017-12-23 22:00:00+00:00,14.812,0.0,1.0,0.970941817426052,0.8660254037844384,4.99,-0.9,6.300000000000011,5.79,-0.9,2.4,0.8433333333333333,1.0,457.65,1.0,3.333333333333355,2.4,4.170833333333333,314.9712665739,15.827416623071022
2017-12-24 22:00:00+00:00,13.45,0.0,1.0,0.970941817426052,0.8660254037844384,-0.15,-0.95,1.2000000000000457,2.89,-1.81,0.85,-1.1054166666666667,-0.2999999999999545,447.59,-0.2999999999999545,0.437500000000026,0.01,1.2904166666666663,336.5763584624,14.892971321599342
2017-12-25 22:00:00+00:00,14.24,0.0,1.0,0.992708874098054,0.8660254037844384,-0.5,-3.66,0.0,1.72,-3.66,-1.63,-1.9370833333333333,-2.3999999999999773,436.229,-2.3999999999999773,-0.6333333333333186,-1.63,-0.3025,334.6258891727,13.565065375418497
2017-12-26 22:00:00+00:00,16.807,0.0,1.0,0.992708874098054,0.8660254037844384,-3.81,-6.8,-1.599999999999966,-1.81,-6.8,-2.59,-5.697916666666667,-3.7999999999999545,411.741,-4.7999999999999545,-3.349999999999978,-3.38,-2.9620833333333336,345.252759794,14.186179383610805
2017-12-27 22:00:00+00:00,19.839,0.0,1.0,0.992708874098054,0.8660254037844384,-6.54,-10.76,-3.3999999999999773,-1.77,-10.76,-7.4,-8.24375,-7.399999999999977,420.452,-7.399999999999977,-4.8624999999999785,-7.4,-4.257083333333333,404.2511133156,16.59801060179414
2017-12-28 22:00:00+00:00,18.228,0.0,1.0,0.992708874098054,0.8660254037844384,-4.6,-4.84,-2.5,-1.27,-10.86,-1.27,-7.562083333333334,-2.8999999999999773,429.004,-8.099999999999966,-5.120833333333309,-7.53,-4.64375,380.375075518,19.580557121579808
2017-12-29 22:00:00+00:00,18.539,0.0,1.0,0.992708874098054,0.8660254037844384,-5.15,-6.14,-2.2999999999999545,-1.33,-8.05,-3.69,-6.58875,-4.5,404.69,-5.0,-3.604166666666643,-5.34,-3.9895833333333335,368.3258751525,18.33585556901924
2017-12-30 22:00:00+00:00,21.397,0.0,1.0,0.992708874098054,0.8660254037844384,-5.23,-10.21,-4.099999999999966,-3.35,-11.43,-7.17,-9.134166666666667,-7.099999999999966,390.706,-7.099999999999966,-5.270833333333312,-8.02,-5.633333333333333,379.3966471769,18.5228008629381
2017-12-31 22:00:00+00:00,17.591,0.0,1.0,0.992708874098054,0.8660254037844384,-2.28,-2.28,-1.5,2.72,-12.2,2.72,-8.736666666666666,-1.5,368.275,-8.099999999999966,-4.874999999999979,-8.81,-5.1137500000000005,367.9640767003,21.167805699473647
2018-01-01 22:00:00+00:00,16.909,0.0,1.0,1.0,1.0,-1.95,-3.76,0.3000000000000113,2.83,-4.25,-1.33,-2.795833333333333,-1.599999999999966,381.44,-1.6999999999999886,-0.7708333333333096,-1.37,1.4500000000000002,374.4212206425,17.87622153174381
2018-01-02 22:00:00+00:00,19.123,0.0,1.0,1.0,1.0,1.33,-3.31,1.6000000000000227,3.65,-3.31,-1.3,-1.0958333333333334,-2.2999999999999545,421.416,-2.2999999999999545,0.2750000000000223,-1.3,1.7745833333333332,382.2778509206,16.986128150086586
2018-01-03 22:00:00+00:00,20.721,0.0,1.0,1.0,1.0,-3.82,-6.48,-2.5,-1.86,-8.95,-3.64,-7.989583333333332,-4.199999999999989,464.21,-4.699999999999989,-3.566666666666644,-5.16,-4.349583333333334,394.110859827,18.95260162967136
2018-01-04 22:00:00+00:00,19.377,0.0,1.0,1.0,1.0,-4.38,-5.68,-0.6999999999999886,-2.01,-6.24,-2.77,-4.975833333333333,-3.2999999999999545,441.988,-3.6999999999999886,-2.1291666666666416,-3.56,-2.4033333333333333,383.0805050544,20.57998443071911
2018-01-05 22:00:00+00:00,20.407,0.0,1.0,1.0,1.0,-5.84,-6.71,-1.5,-3.12,-9.27,-5.4,-7.921250000000001,-4.2999999999999545,446.362,-6.199999999999989,-4.5749999999999815,-7.57,-5.69625,392.4473766281,19.47292834803527
2018-01-06 22:00:00+00:00,20.374,0.0,1.0,1.0,1.0,-4.55,-5.92,-2.6999999999999886,-0.71,-8.74,-1.4,-6.931666666666668,-3.7999999999999545,484.73,-5.099999999999966,-4.020833333333314,-5.18,-2.1045833333333333,369.8638250963,20.332515286622627
2018-01-07 22:00:00+00:00,19.064,0.0,1.0,1.0,1.0,-3.87,-5.54,1.0,1.78,-9.6,-0.84,-5.739166666666666,-0.5,432.88,-3.6999999999999886,-1.1708333333333154,-2.71,-0.70125,363.3255452106,20.37069192724245
2018-01-08 22:00:00+00:00,20.082,0.0,1.0,0.992708874098054,1.0,1.75,-7.22,4.600000000000023,4.38,-7.22,-3.14,-2.7304166666666667,-2.8999999999999773,422.927,-2.8999999999999773,1.0500000000000231,-3.14,0.3270833333333333,380.1747266209,19.168198188081675
2018-01-09 22:00:00+00:00,23.804,0.0,1.0,0.992708874098054,1.0,-7.25,-10.42,-3.1999999999999886,-2.27,-10.71,-5.33,-9.115416666666668,-3.1999999999999886,454.462,-6.2999999999999545,-4.66666666666664,-5.33,-3.5674999999999994,403.4174721242,20.009131643593623
