datetime,grid1-loss,season_x,week_x,month_x,grid1-temp_max,dew_point_max,temperature_max,dew_point,dew_point_mean,dew_point_min,grid1-temp_mean,grid1-temp,temperature,temperature_mean,grid1-temp_min,temperature_min,grid1-load,ewma,demand
2017-12-09 06:00:00+00:00,14.768,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,2.900000000000034,2.15,4.07,1.55,0.415,-1.51,1.8625000000000185,2.900000000000034,2.98,2.4654166666666666,0.5,1.09,427.785,20.268,317.0571675471
2017-12-10 06:00:00+00:00,14.665,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.0,1.63,3.65,-6.65,-1.8170833333333332,-6.65,0.2083333333333522,-3.2999999999999545,-2.4,1.5424999999999998,-3.2999999999999545,-2.4,406.731,14.768000081958409,328.9558764272
2017-12-11 06:00:00+00:00,26.638,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.5,-7.11,-2.93,-8.73,-9.294166666666667,-10.55,-4.516666666666654,-6.0,-4.05,-4.406666666666666,-6.0,-5.06,520.849,14.665000001534858,446.4463589583
2017-12-12 06:00:00+00:00,29.386,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.2999999999999545,-6.9,-2.03,-10.55,-8.608333333333333,-10.55,-5.120833333333311,-4.7999999999999545,-7.39,-4.8575,-6.199999999999989,-7.39,528.261,26.637999821584003,463.8201532903
2017-12-13 06:00:00+00:00,28.95,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.5,-2.28,-0.23,-7.35,-8.595833333333333,-10.75,-3.108333333333306,-1.6999999999999886,-2.16,-5.0687500000000005,-4.599999999999966,-7.41,476.226,29.3859999590506,432.9535030412
2017-12-14 06:00:00+00:00,30.914,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,-4.89,-2.98,-8.05,-8.886249999999999,-12.05,-3.799999999999978,-7.299999999999954,-5.48,-4.814583333333333,-7.299999999999954,-6.15,483.504,28.950000006497064,444.9849403026
2017-12-15 06:00:00+00:00,31.119,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.399999999999977,-7.55,-5.1,-7.55,-8.0775,-8.95,-9.104166666666652,-9.5,-5.1,-5.81,-10.699999999999989,-6.65,469.953,30.9139999707334,468.7087187367
2017-12-16 06:00:00+00:00,21.249,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.2999999999999545,-5.65,-2.88,-6.75,-6.739999999999999,-7.65,-5.687499999999983,-2.2999999999999545,-3.85,-4.2175,-9.599999999999966,-5.41,390.003,31.11899999694519,362.9421410918
2017-12-17 06:00:00+00:00,16.622,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.2999999999999545,-2.51,0.69,-4.45,-4.004166666666667,-7.01,-1.3083333333333065,-1.2999999999999543,-1.55,-1.247083333333333,-3.2999999999999545,-3.94,388.353,21.24900014707808,342.0263921573
2017-12-18 06:00:00+00:00,24.053,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.1000000000000227,1.04,3.95,1.04,-6.845833333333332,-9.84,-1.7999999999999734,3.1000000000000227,3.95,-2.587083333333333,-4.2999999999999545,-4.65,548.151,16.622000068949372,450.3043859669
