datetime,grid1-loss,season_x,week_x,month_x,dew_point,dew_point_max,dew_point_min,dew_point_mean,grid1-temp_min,temperature_min,temperature,temperature_max,grid1-temp,grid1-temp_max,temperature_mean,grid1-temp_mean,grid1-load,demand,ewma
2017-12-09 17:00:00+00:00,20.904,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-0.9,2.15,-0.9,1.01125,0.5,1.9,2.21,4.07,0.5,3.0,3.224166666666666,2.1916666666666864,492.972,398.1561674218,22.03
2017-12-10 17:00:00+00:00,24.59,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-10.4,-1.15,-10.4,-6.09875,-4.2999999999999545,-5.06,-5.06,1.96,-4.2999999999999545,0.0,-1.8058333333333332,-2.4749999999999823,505.944,433.8513069947,20.904000016778703
2017-12-11 17:00:00+00:00,29.62,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-8.08,-6.9,-10.55,-8.699166666666667,-6.0,-5.06,-4.52,-2.03,-5.899999999999977,-3.2999999999999545,-3.9125,-5.17916666666665,544.899,481.3893801394,24.58999994507432
2017-12-12 17:00:00+00:00,31.33,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-10.47,-8.25,-10.75,-9.982083333333334,-6.199999999999989,-7.41,-6.73,-4.93,-3.599999999999966,-3.599999999999966,-6.673333333333333,-4.595833333333308,540.786,489.2282854697,29.61999992504716
2017-12-13 17:00:00+00:00,30.297,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-10.0,-2.28,-12.05,-8.500416666666666,-3.7999999999999545,-6.55,-5.33,-0.23,-3.7999999999999545,-1.3999999999999773,-3.9470833333333335,-2.424999999999978,542.611,467.5644641641,31.32999997451901
2017-12-14 17:00:00+00:00,33.078,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.97,-4.89,-9.65,-7.707916666666667,-9.299999999999956,-6.15,-5.96,-3.24,-9.299999999999956,-3.0,-5.264583333333333,-6.479166666666646,474.341,489.0552662126,30.2970000153929
2017-12-15 17:00:00+00:00,32.047,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.32,-6.32,-8.95,-7.734999999999999,-10.699999999999989,-6.65,-3.92,-3.92,-5.899999999999977,-5.899999999999977,-5.47125,-8.991666666666653,492.826,480.2165642139,33.07799995855987
2017-12-16 17:00:00+00:00,27.561,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.51,-2.51,-7.18,-5.756666666666667,-5.199999999999989,-4.41,-0.25,-0.25,-1.099999999999966,-0.6999999999999886,-3.092083333333333,-2.904166666666645,478.331,428.1019734411,32.047000015363096
2017-12-17 17:00:00+00:00,25.379,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-9.16,-2.57,-9.16,-4.752083333333333,-4.0,-4.28,-4.28,0.69,-4.0,-0.2999999999999545,-1.1579166666666667,-1.6124999999999758,524.281,447.7436288369,27.561000066846606
2017-12-18 17:00:00+00:00,24.38,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,1.38,1.41,-9.84,-3.608333333333333,-4.2999999999999545,-4.65,4.5,4.75,2.800000000000012,3.400000000000034,0.3858333333333334,0.7083333333333618,581.166,449.5749059103,25.379000032514337
2017-12-19 17:00:00+00:00,21.628,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.15,3.35,-4.73,-0.5691666666666667,0.9000000000000341,0.38,4.97,4.97,4.100000000000023,4.800000000000011,2.73125,3.229166666666688,599.274,441.5743417989,24.380000014886257
2017-12-20 17:00:00+00:00,21.259,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,0.8,3.72,0.8,2.6104166666666666,1.6000000000000227,2.24,2.24,4.96,1.6000000000000227,4.5,4.22375,3.525000000000022,588.397,441.67522645,21.628000041008
2017-12-21 17:00:00+00:00,22.141,1.0,0.970941817426052,0.8660254037844384,-0.27,0.69,-2.84,-0.9479166666666666,0.6000000000000227,1.25,3.3,4.49,2.800000000000012,3.200000000000045,3.178333333333333,2.1791666666666862,617.234,425.8122636959,21.259000005498528
2017-12-22 17:00:00+00:00,21.875,1.0,0.970941817426052,0.8660254037844384,-0.72,-0.04,-2.59,-1.68,0.9000000000000341,1.29,1.29,3.31,1.2000000000000457,2.900000000000034,2.731666666666667,1.7291666666666856,606.706,416.715621423,22.14099998685717
2017-12-23 17:00:00+00:00,19.072,1.0,0.970941817426052,0.8660254037844384,-0.58,4.99,-1.06,0.95375,1.400000000000034,1.28,2.91,5.79,1.7000000000000457,6.300000000000011,4.113333333333334,3.6000000000000227,558.578,357.9918535514,21.87500000396371
