datetime,grid1-loss,season_x,week_x,month_x,grid1-temp_max,temperature_max,dew_point_max,dew_point_mean,dew_point,grid1-temp_mean,dew_point_min,temperature_mean,grid1-load,grid1-temp,temperature,grid1-temp_min,temperature_min,ewma,demand
2017-12-09 05:00:00+00:00,13.23,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,2.700000000000045,4.07,2.15,0.2858333333333333,1.78,1.825000000000017,-1.55,2.424583333333333,411.779,2.700000000000045,3.41,0.5,1.09,15.811,306.2448134433
2017-12-10 05:00:00+00:00,13.601,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.0,3.65,1.63,-1.4754166666666666,-6.24,0.4666666666666851,-6.24,1.7666666666666668,392.904,-2.599999999999966,-1.94,-2.6999999999999886,-1.94,13.230000038459943,318.9999800478
2017-12-11 05:00:00+00:00,21.312,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.5,-2.4,-6.65,-9.2075,-8.98,-4.404166666666652,-10.55,-4.337916666666667,457.684,-5.7999999999999545,-4.34,-5.7999999999999545,-5.06,13.600999994471664,392.0370497714
2017-12-12 05:00:00+00:00,23.649,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.2999999999999545,-2.03,-6.9,-8.5325,-10.43,-5.170833333333313,-10.43,-4.718333333333333,458.635,-4.599999999999966,-7.35,-6.199999999999989,-7.35,21.31199988509701,410.27839567
2017-12-13 05:00:00+00:00,23.676,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.5,-0.23,-2.28,-8.729166666666666,-5.74,-3.237499999999971,-10.75,-5.286666666666667,469.767,-1.8999999999999773,-1.32,-4.7999999999999545,-7.41,23.648999965175943,382.074339296
2017-12-14 05:00:00+00:00,24.9,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,-2.16,-4.89,-8.857083333333334,-8.11,-3.5666666666666464,-12.05,-4.67625,426.83,-6.699999999999989,-5.49,-6.699999999999989,-6.15,23.675999999597664,389.7255014264
2017-12-15 05:00:00+00:00,25.28,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.299999999999954,-5.21,-7.65,-8.098333333333333,-7.73,-9.012499999999983,-8.95,-5.825833333333333,406.378,-9.5,-5.21,-10.699999999999989,-6.65,24.89999998176096,416.7853471186
2017-12-16 05:00:00+00:00,19.641,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.3999999999999773,-2.88,-5.65,-6.773333333333333,-6.34,-5.987499999999986,-7.65,-4.269583333333333,364.52,-2.3999999999999773,-3.54,-9.599999999999966,-5.41,25.27999999433755,345.5512518265
2017-12-17 05:00:00+00:00,15.756,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.2999999999999545,0.69,-2.51,-4.1000000000000005,-4.18,-1.349999999999973,-7.01,-1.3429166666666663,370.825,-1.099999999999966,-1.45,-3.2999999999999545,-3.94,19.64100008402775,326.0556029889
2017-12-18 05:00:00+00:00,19.353,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,2.200000000000045,1.64,-0.67,-7.074583333333334,-0.67,-1.9833333333333056,-9.84,-2.81625,483.628,2.200000000000045,1.64,-4.2999999999999545,-4.65,15.756000057891084,394.0825779123
2017-12-19 05:00:00+00:00,17.273,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,3.5,4.75,1.61,-0.7154166666666667,-3.47,2.6875000000000235,-4.73,3.240833333333333,512.943,3.5,1.44,0.9000000000000341,0.38,19.352999946400463,375.206005336
2017-12-20 05:00:00+00:00,16.217,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,4.800000000000011,4.97,3.61,1.7670833333333331,3.61,4.02500000000002,-3.2,4.025833333333333,513.276,4.2000000000000455,4.81,3.5,1.53,17.27300003099445,370.9046375978
2017-12-21 05:00:00+00:00,16.372,1.0,0.970941817426052,0.8660254037844384,4.400000000000034,4.69,3.72,0.9579166666666666,0.01,2.262500000000024,-2.84,3.1612500000000003,527.973,2.800000000000012,4.31,0.6000000000000227,1.25,16.217000015735646,361.2312625416
2017-12-22 05:00:00+00:00,17.29,1.0,0.970941817426052,0.8660254037844384,3.200000000000045,4.07,-0.04,-1.495,-2.27,2.387500000000015,-2.59,3.32375,532.449,2.1000000000000227,2.77,1.5,2.67,16.371999997690317,357.5054685011
2017-12-23 05:00:00+00:00,11.963,1.0,0.970941817426052,0.8660254037844384,6.300000000000011,5.79,4.99,0.2674999999999999,2.11,2.941666666666689,-2.48,3.3004166666666666,461.529,5.600000000000023,5.23,0.9000000000000341,1.28,17.289999986320716,268.5977999953
2017-12-24 05:00:00+00:00,11.84,1.0,0.970941817426052,0.8660254037844384,5.2000000000000455,5.21,0.95,-0.4233333333333334,-0.63,1.8666666666666885,-1.07,3.3312500000000003,405.52,0.9000000000000341,2.23,0.4000000000000341,2.23,11.96300007937858,312.766971692
2017-12-25 05:00:00+00:00,12.4,1.0,0.992708874098054,0.8660254037844384,1.2000000000000457,2.07,-0.5,-1.3245833333333334,-1.03,0.1500000000000246,-1.81,0.655,457.62,-0.0999999999999659,0.35,-0.6999999999999886,-0.39,11.840000001832848,315.9930956039
