datetime,grid1-loss,season_y,season_x,week_x,month_x,grid1-temp_max,grid1-load,temperature_max,dew_point_max,grid1-temp_mean,dew_point_mean,dew_point,dew_point_min,grid1-temp,temperature_mean,temperature,grid1-temp_min,temperature_min,demand,ewma
2017-12-09 04:00:00+00:00,12.34,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,2.700000000000045,405.051,4.07,2.15,1.8208333333333493,0.1466666666666666,2.06,-1.56,2.5,2.381666666666667,3.93,0.5,1.09,253.1495484659,12.955
2017-12-10 04:00:00+00:00,12.933,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,3.0,387.794,3.65,1.78,0.687500000000019,-1.14125,-5.85,-5.85,-2.0,1.9895833333333333,-1.51,-2.6999999999999886,-1.51,255.6561199039,12.340000009164214
2017-12-11 04:00:00+00:00,18.374,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.5,411.014,-1.94,-6.24,-4.270833333333319,-9.093333333333334,-9.2,-10.55,-5.699999999999989,-4.237916666666666,-4.58,-5.699999999999989,-5.06,303.1567671093,12.93299999116361
2017-12-12 04:00:00+00:00,19.397,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-3.2999999999999545,413.176,-2.03,-6.9,-5.220833333333313,-8.472083333333334,-10.29,-10.29,-4.399999999999977,-4.5929166666666665,-7.3,-6.199999999999989,-7.3,334.8315155032,18.37399991892277
2017-12-13 04:00:00+00:00,19.436,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.5,421.513,-0.23,-2.28,-3.349999999999971,-8.924583333333333,-4.11,-10.75,-2.099999999999966,-5.537916666666668,-0.62,-4.7999999999999545,-7.41,312.9718608813,19.396999984756107
2017-12-14 04:00:00+00:00,20.532,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-1.3999999999999773,382.696,-1.32,-4.89,-3.366666666666646,-8.758333333333333,-8.24,-12.05,-6.199999999999989,-4.5025,-5.54,-6.199999999999989,-6.15,325.2158770909,19.43599999941885
2017-12-15 04:00:00+00:00,21.134,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.699999999999989,359.769,-5.35,-7.65,-8.895833333333316,-8.114166666666668,-8.02,-8.95,-9.5,-5.8375,-5.47,-10.699999999999989,-6.65,359.5707418647,20.531999983668328
2017-12-16 04:00:00+00:00,18.674,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.5,348.922,-2.88,-5.65,-6.28333333333332,-6.83125,-5.91,-7.73,-2.5,-4.339166666666666,-3.14,-9.599999999999966,-5.41,294.0510212925,21.1339999910295
2017-12-17 04:00:00+00:00,15.453,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-0.2999999999999545,359.396,0.69,-2.51,-1.40416666666664,-4.19,-3.86,-7.01,-0.8999999999999773,-1.43,-1.26,-3.2999999999999545,-3.94,283.5517479733,18.674000036656857
2017-12-18 04:00:00+00:00,15.731,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,1.2000000000000457,444.046,-1.13,-3.15,-2.1208333333333065,-7.220833333333332,-3.15,-9.84,1.2000000000000457,-2.945,-1.27,-4.2999999999999545,-4.65,352.6958210788,15.453000047996644
