datetime,grid1-loss,month_y,season_y,season_x,week_x,month_x,dew_point,dew_point_max,dew_point_min,dew_point_mean,grid1-temp_max,grid1-temp_min,temperature_max,temperature,grid1-temp,temperature_min,grid1-temp_mean,temperature_mean,grid1-load,demand,ewma
2017-12-09 19:00:00+00:00,18.984,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-1.29,2.15,-1.29,0.8333333333333334,3.0,-0.5999999999999659,4.07,1.87,-0.5999999999999659,1.87,2.041666666666688,3.1841666666666666,463.858,379.332503954,20.174
2017-12-10 19:00:00+00:00,23.468,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-10.52,-1.42,-10.55,-6.875,0.0,-4.699999999999989,1.82,-4.96,-4.699999999999989,-5.06,-2.8291666666666493,-2.3829166666666666,495.011,428.189786054,18.98400001773239
2017-12-11 19:00:00+00:00,30.037,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-8.45,-6.9,-10.34,-8.517083333333334,-3.2999999999999545,-6.199999999999989,-2.03,-5.26,-6.099999999999966,-5.26,-5.312499999999983,-3.919583333333333,527.292,470.0431272965,23.467999933183165
2017-12-12 19:00:00+00:00,30.314,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-10.45,-8.63,-10.75,-10.157083333333334,-3.0,-6.0,-5.49,-6.45,-3.0,-7.41,-4.354166666666643,-6.790416666666666,532.534,473.1606557235,30.036999902114232
2017-12-13 19:00:00+00:00,29.284,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-7.35,-2.28,-12.05,-8.292083333333332,-1.3999999999999773,-3.899999999999977,-0.23,-4.82,-3.599999999999966,-6.38,-2.4666666666666424,-3.820833333333333,521.691,450.1413079943,30.313999995872376
2017-12-14 19:00:00+00:00,31.112,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-8.17,-4.89,-9.65,-7.72125,-3.0,-9.799999999999956,-3.24,-6.19,-9.799999999999956,-6.19,-6.966666666666645,-5.36,467.223,475.272155114,29.2840000153482
2017-12-15 19:00:00+00:00,29.097,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-6.51,-6.32,-8.95,-7.595416666666666,-5.0,-10.699999999999989,-3.89,-4.01,-5.0,-6.65,-8.616666666666655,-5.289583333333334,468.694,456.8168850201,31.111999972760664
2017-12-16 19:00:00+00:00,23.964,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-2.63,-2.51,-7.18,-5.437083333333334,-0.6999999999999886,-4.7999999999999545,0.3,0.3,-1.0,-4.41,-2.5749999999999766,-2.74875,452.548,404.9994263302,29.09700003002585
2017-12-17 19:00:00+00:00,24.174,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.9350162426854148,0.8660254037844384,-9.6,-2.68,-9.6,-5.32875,-0.2999999999999545,-4.2999999999999545,0.69,-4.63,-4.0,-4.63,-1.862499999999976,-1.5529166666666665,510.738,440.673503556,23.964000076487693
2017-12-18 19:00:00+00:00,22.898,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,1.4,1.61,-9.84,-2.689583333333333,3.400000000000034,-3.599999999999966,4.75,4.22,2.800000000000012,-4.65,1.2916666666666952,1.127916666666667,585.633,435.1984319538,24.173999996870755
2017-12-19 19:00:00+00:00,20.98,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,2.57,3.35,-4.73,-0.4666666666666668,4.800000000000011,0.9000000000000341,4.97,4.89,4.2000000000000455,0.38,3.337500000000022,2.78,588.579,429.0736067992,22.89800001901389
2017-12-20 19:00:00+00:00,20.262,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.970941817426052,0.8660254037844384,0.01,3.72,0.01,2.3991666666666664,4.5,1.2000000000000457,4.96,1.53,1.2000000000000457,1.53,3.2875000000000227,3.954166666666667,577.542,425.6260814718,20.98000002858044
2017-12-21 19:00:00+00:00,21.112,-0.5000000000000004,0.0,1.0,0.970941817426052,0.8660254037844384,-0.04,0.69,-2.84,-0.9683333333333334,3.200000000000045,0.6000000000000227,4.49,3.31,2.5,1.25,2.2958333333333507,3.3129166666666663,596.987,410.1035961161,20.26200001069904
2017-12-22 19:00:00+00:00,19.8,-0.5000000000000004,0.0,1.0,0.970941817426052,0.8660254037844384,-1.06,-0.3,-2.59,-1.762916666666667,2.200000000000045,0.9000000000000341,3.3,1.46,1.900000000000034,1.28,1.641666666666687,2.5708333333333333,575.515,395.1836576055,21.11199998733401
2017-12-23 19:00:00+00:00,17.818,-0.5000000000000004,0.0,1.0,0.970941817426052,0.8660254037844384,-0.57,4.99,-0.75,0.99375,6.300000000000011,1.5,5.79,2.6,1.5,1.91,3.595833333333355,4.221666666666667,516.765,341.9304166953,19.80000001955033
2017-12-24 19:00:00+00:00,14.369,-0.5000000000000004,0.0,1.0,0.970941817426052,0.8660254037844384,-1.04,-0.15,-1.81,-1.0583333333333331,1.3000000000000114,-0.1999999999999886,2.89,0.2,-0.1999999999999886,0.2,0.6125000000000208,1.5525,519.308,362.3894331164,17.818000029534115
2017-12-25 19:00:00+00:00,16.314,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-3.21,-0.5,-3.21,-1.6383333333333334,0.0,-1.3999999999999773,1.72,-1.11,-1.3999999999999773,-1.11,-0.437499999999981,-0.07875,503.712,366.2949846122,14.369000051394126
2017-12-26 19:00:00+00:00,19.522,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-5.79,-3.39,-6.6,-5.32875,-1.5,-4.7999999999999545,-1.27,-2.15,-3.599999999999966,-3.38,-3.1208333333333136,-2.837916666666666,479.324,361.5441474917,16.313999971017232
2017-12-27 19:00:00+00:00,23.219,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-10.21,-6.14,-10.21,-7.727916666666666,-3.3999999999999773,-6.0,-1.77,-6.82,-6.0,-6.82,-4.479166666666646,-3.659166666666667,469.862,438.0254986537,19.521999952197053
2017-12-28 19:00:00+00:00,22.344,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-4.7,-4.7,-10.86,-8.30125,-2.5,-8.099999999999966,-1.78,-1.78,-2.8999999999999773,-7.53,-5.624999999999974,-5.3741666666666665,481.041,426.3867232308,23.218999944910383
2017-12-29 19:00:00+00:00,22.112,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-7.56,-4.6,-8.05,-6.377083333333334,-2.2999999999999545,-5.0,-1.27,-4.81,-4.7999999999999545,-5.34,-3.3708333333333087,-3.68375,463.685,410.9113227395,22.344000013038524
2017-12-30 19:00:00+00:00,23.128,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-11.43,-5.23,-11.43,-8.580833333333333,-4.099999999999966,-6.199999999999989,-3.35,-8.02,-6.199999999999989,-8.02,-4.983333333333313,-5.160416666666666,436.144,404.87703855,22.11200000345707
2017-12-31 19:00:00+00:00,22.314,-0.5000000000000004,0.0,1.0,0.992708874098054,0.8660254037844384,-4.05,-4.05,-12.2,-9.753333333333332,-2.3999999999999773,-8.099999999999966,0.76,0.76,-2.3999999999999773,-8.81,-5.516666666666644,-6.348333333333333,383.546,406.9426675644,23.127999984860413
2018-01-01 19:00:00+00:00,21.44,0.0,0.0,1.0,1.0,1.0,-4.12,-1.95,-4.12,-2.6245833333333333,0.3000000000000113,-2.099999999999966,2.83,-1.14,-1.5,-1.14,-0.7874999999999778,1.9004166666666664,414.038,398.5575369608,22.31400001212955
